item_id,p_mean,p_75,p_50,p_25,date,dateStata,dateISO,obs,year,month,quote_date
520215,4.050357,4.59,3.99,2.85,192,01-01-2004,"2004-01-01",107904,2004,1,200401
520215,4.072951,4.93,3.79,2.55,193,01-02-2004,"2004-02-01",103439,2004,2,200402
520215,4.244062,4.72,3.72,2.49,194,01-03-2004,"2004-03-01",105011,2004,3,200403
520215,4.418139,4.99,3.79,2.55,195,01-04-2004,"2004-04-01",105509,2004,4,200404
520215,4.3284,4.69,3.79,2.49,196,01-05-2004,"2004-05-01",107319,2004,5,200405
520215,4.267344,4.85,3.62,2.49,197,01-06-2004,"2004-06-01",107774,2004,6,200406
520215,4.412445,4.69,3.79,2.49,198,01-07-2004,"2004-07-01",106865,2004,7,200407
520215,4.510534,4.75,3.79,2.75,199,01-08-2004,"2004-08-01",105050,2004,8,200408
520215,4.543411,4.59,3.79,2.75,200,01-09-2004,"2004-09-01",104170,2004,9,200409
520215,4.643609,4.99,3.99,2.88,201,01-10-2004,"2004-10-01",105471,2004,10,200410
520215,4.681145,4.99,3.99,2.88,202,01-11-2004,"2004-11-01",106502,2004,11,200411
520215,4.352587,4.5,3.59,2.55,203,01-12-2004,"2004-12-01",106782,2004,12,200412
520215,4.314453,4.75,3.79,2.98,204,01-01-2005,"2005-01-01",103613,2005,1,200501
520215,4.451626,4.75,3.59,2.85,205,01-02-2005,"2005-02-01",108851,2005,2,200502
520215,4.70573,4.69,3.59,2.75,206,01-03-2005,"2005-03-01",109174,2005,3,200503
520215,4.467143,4.99,3.59,2.85,207,01-04-2005,"2005-04-01",112133,2005,4,200504
520215,3.633453,4.5,3.59,2.98,208,01-05-2005,"2005-05-01",111815,2005,5,200505
520215,4.891468,4.99,3.59,2.89,209,01-06-2005,"2005-06-01",114133,2005,6,200506
520215,5.004052,4.99,3.59,2.97,210,01-07-2005,"2005-07-01",112702,2005,7,200507
520215,4.965517,4.69,3.325,2.5,211,01-08-2005,"2005-08-01",111794,2005,8,200508
520215,5.215345,4.69,3.59,2.5,212,01-09-2005,"2005-09-01",111426,2005,9,200509
520215,5.36439,4.85,3.59,2.89,213,01-10-2005,"2005-10-01",108500,2005,10,200510
520215,5.411066,4.95,3.39,2.39,214,01-11-2005,"2005-11-01",104534,2005,11,200511
520215,5.465846,4.49,3.39,2.39,215,01-12-2005,"2005-12-01",109077,2005,12,200512
520215,5.824651,4.95,3.59,2.95,216,01-01-2006,"2006-01-01",104610,2006,1,200601
520215,6.427034,5.05,3.59,2.99,217,01-02-2006,"2006-02-01",100465,2006,2,200602
520215,6.353437,5.02,3.39,2.745,218,01-03-2006,"2006-03-01",103882,2006,3,200603
520215,6.832033,5.05,3.59,2.99,219,01-04-2006,"2006-04-01",107567,2006,4,200604
520215,6.784264,4.99,3.59,2.99,220,01-05-2006,"2006-05-01",109228,2006,5,200605
520215,6.640073,4.99,3.59,2.99,221,01-06-2006,"2006-06-01",110194,2006,6,200606
520215,6.94125,4.99,3.59,2.95,222,01-07-2006,"2006-07-01",107021,2006,7,200607
520215,6.748092,4.95,3.59,2.95,223,01-08-2006,"2006-08-01",105147,2006,8,200608
520215,7.032195,4.99,3.59,2.98,224,01-09-2006,"2006-09-01",105598,2006,9,200609
520215,6.924531,4.99,3.77,2.99,225,01-10-2006,"2006-10-01",106345,2006,10,200610
520215,6.712595,4.99,3.59,2.99,226,01-11-2006,"2006-11-01",107067,2006,11,200611
520215,6.618437,4.99,3.59,2.99,227,01-12-2006,"2006-12-01",107974,2006,12,200612
520215,6.427619,4.99,3.59,2.99,228,01-01-2007,"2007-01-01",94734,2007,1,200701
520215,3.673442,3.99,3.49,2.99,229,01-02-2007,"2007-02-01",94993,2007,2,200702
520215,3.825032,3.99,3.49,2.99,230,01-03-2007,"2007-03-01",99770,2007,3,200703
520215,5.46578,4.99,3.99,3.38,231,01-04-2007,"2007-04-01",101168,2007,4,200704
520215,5.843895,4.85,3.99,3.08,232,01-05-2007,"2007-05-01",102992,2007,5,200705
520215,6.230649,4.99,3.99,3.28,233,01-06-2007,"2007-06-01",104456,2007,6,200706
520215,5.983438,4.9,3.99,3.38,234,01-07-2007,"2007-07-01",103584,2007,7,200707
520215,5.99476,4.99,3.99,3.3,235,01-08-2007,"2007-08-01",103198,2007,8,200708
520215,5.898984,4.99,3.99,3.11,236,01-09-2007,"2007-09-01",103769,2007,9,200709
520215,6.040573,4.99,3.99,3.145,237,01-10-2007,"2007-10-01",105114,2007,10,200710
520215,5.991168,4.99,3.99,3.35,238,01-11-2007,"2007-11-01",107436,2007,11,200711
520215,6.1409,4.95,3.99,3.29,239,01-12-2007,"2007-12-01",107286,2007,12,200712
520215,6.139263,5.15,3.99,3.12,240,01-01-2008,"2008-01-01",102691,2008,1,200801
520215,6.195081,4.99,3.99,3.34,241,01-02-2008,"2008-02-01",100511,2008,2,200802
520215,6.170049,5.05,3.99,3.07,242,01-03-2008,"2008-03-01",105118,2008,3,200803
520215,6.190923,5.15,3.99,3.25,243,01-04-2008,"2008-04-01",99887,2008,4,200804
520215,6.358623,5.02,3.99,3.48,244,01-05-2008,"2008-05-01",100583,2008,5,200805
520215,6.388257,5.05,4.15,3.48,245,01-06-2008,"2008-06-01",101446,2008,6,200806
520215,6.438209,5.46,3.99,3.41,246,01-07-2008,"2008-07-01",102214,2008,7,200807
520215,6.525606,5.46,4.15,3.28,247,01-08-2008,"2008-08-01",102314,2008,8,200808
520215,6.512691,5.15,4.19,3.47,248,01-09-2008,"2008-09-01",102828,2008,9,200809
520215,6.670204,5.05,4.075,3.28,249,01-10-2008,"2008-10-01",103994,2008,10,200810
520215,6.435958,4.98,3.99,3.45,250,01-11-2008,"2008-11-01",104756,2008,11,200811
520215,6.416649,5.26,3.91,3.29,251,01-12-2008,"2008-12-01",101854,2008,12,200812
520215,6.305587,5.32,3.91,3.28,252,01-01-2009,"2009-01-01",98184,2009,1,200901
520215,6.682364,5.15,3.99,3.37,253,01-02-2009,"2009-02-01",91764,2009,2,200902
520215,6.351667,4.88,3.99,3.37,254,01-03-2009,"2009-03-01",97144,2009,3,200903
520215,6.686513,5.32,3.99,3.37,255,01-04-2009,"2009-04-01",99211,2009,4,200904
520215,7.003854,5.345,3.99,3.39,256,01-05-2009,"2009-05-01",100141,2009,5,200905
520215,6.927446,5.37,3.99,3.37,257,01-06-2009,"2009-06-01",99984,2009,6,200906
520215,6.458466,5.15,3.88,3.19,258,01-07-2009,"2009-07-01",100430,2009,7,200907
520215,6.532593,5.15,3.88,3.41,259,01-08-2009,"2009-08-01",101010,2009,8,200908
